disease,precaution_1,precaution_2,precaution_3,precaution_4,precaution_5
Common Cold,Get plenty of bed rest to help your body recover,Drink warm fluids like herbal tea and clear broths,Inhale steam from a bowl of hot water to clear your nose,Use saline drops to ease nasal congestion,Wash your hands frequently to avoid spreading it to others
Influenza,Stay home and isolate to avoid infecting others,Drink plenty of water and juices to stay hydrated,Keep a close eye on your body temperature,Take simple fever reducers like paracetamol if needed,Rest completely and avoid any physical exertion
Acute Bronchitis,Give your body and voice plenty of rest,Drink warm broths and water to thin out mucus,Stay completely away from cigarette smoke and dust,Use a clean humidifier or steam in your room,Do a warm saltwater gargle if your throat feels raw
Acute Sinusitis,Inhale steam twice a day to open your nasal passages,Apply a warm cloth over your forehead and cheeks,Drink plenty of water throughout the day,Avoid sudden temperature changes or cold drafts,Sleep with your head elevated on an extra pillow
Strep Throat,Gargle with warm salt water every few hours,Eat soft and easy-to-swallow foods like soup or yogurt,Avoid spicy acidic or highly seasoned foods,Get a doctor to check your throat as soon as possible,Keep your utensils and cups separate from family members
Pneumonia,Seek immediate medical care from a doctor,Rest in a slightly propped-up position to breathe easier,Check your oxygen levels regularly if you have a monitor,Avoid any form of physical activity or housework,Stay in a well-ventilated and comfortable room
Gastroenteritis,Sip oral rehydration solutions to replace lost fluids,Stick to a plain bland diet like bananas rice and toast,Wash your hands thoroughly with soap after using the restroom,Avoid dairy products fried foods and sugary drinks,Rest your stomach by eating small bites at a time
Food Poisoning,Sip clear fluids or electrolyte drinks frequently,Do not eat any solid food for the first few hours,Avoid taking over-the-counter anti-diarrhea medicines,Slowly reintroduce plain foods like crackers or plain rice,Get plenty of rest while your body flushes the toxins
GERD,Avoid spicy fatty and highly acidic foods,Eat smaller meals more frequently instead of large heavy ones,Do not lie down for at least two hours after eating,Raise the head end of your bed by a few inches,Avoid wearing tight clothing around your stomach
Irritable Bowel Syndrome,Keep track of foods that upset your stomach and avoid them,Find ways to manage and lower your daily stress,Slowly add more fiber-rich foods to your meals,Avoid carbonated drinks and chewing gum,Drink plenty of water throughout the day
Peptic Ulcer Disease,Do not take painkillers like ibuprofen or aspirin,Avoid drinking strong tea coffee or soft drinks,Eat your meals on time and do not skip them,Avoid smoking and drinking alcohol entirely,Consult a doctor for proper stomach-acid medicines
Essential Hypertension,Cut down on salt in your home-cooked meals,Check your blood pressure regularly at home,Take breaks and avoid highly stressful situations,Go for a gentle thirty-minute walk every day,Avoid processed foods and salty snacks
Type 2 Diabetes Mellitus,Cut back heavily on sugar sweets and refined carbs,Check your blood sugar levels as advised by your doctor,Eat your meals at the same time every day,Regularly check your feet for any slow-healing cuts,Stay active with light daily exercises
Hyperlipidemia,Eat a low-fat diet with plenty of vegetables and oats,Get moving with regular cardio exercises like brisk walking,Avoid sitting for long hours and take stretching breaks,Get a fasting blood test done to check your cholesterol levels,Avoid fried snacks and processed fast foods
Iron Deficiency Anemia,Eat iron-rich foods like spinach beans and lean meats,Have citrus fruits or Vitamin C to help absorb iron,Do not drink tea or coffee right after your meals,Get a basic blood test done to check your iron levels,Take iron supplements only after a doctor suggests them
Hypothyroidism,Take your thyroid medication exactly as prescribed,Keep yourself warm if you feel sensitive to the cold,Eat high-fiber foods to prevent slow digestion,Get regular blood tests done to monitor your thyroid levels,Incorporate gentle daily activity to boost your energy
Typhoid Fever,Get a professional blood test done immediately,Drink only boiled or sealed bottled water,Eat freshly cooked hot meals and avoid raw street food,Wash your hands thoroughly before touching any food,Get complete bed rest until your fever settles down
Dengue Fever,Take paracetamol only for pain and fever relief,Never take medicines like ibuprofen or aspirin for pain,Drink plenty of water juices and coconut water,Use mosquito nets or liquids even during daytime rest,Watch out for any bleeding from your gums or nose
Malaria,Visit a clinic immediately for a blood test,Take the full course of medicines prescribed by the doctor,Keep a close watch for any yellowing of your eyes,Use mosquito sprays or nets inside your house,Keep your body cool with a damp cloth during high fever
Urinary Tract Infection,Drink a large amount of water to flush out bacteria,Do not hold your urine when you feel the urge to go,Maintain good personal hygiene after using the restroom,Avoid scented soaps or body washes in your private areas,See a doctor promptly to get the right antibiotics
Infectious Mononucleosis,Get strict bed rest and avoid pushing your body,Avoid heavy lifting or rough physical activities entirely,Sip cool liquids to soothe your sore throat,Do not share water bottles or utensils with anyone,Watch out for any severe pain on the left side of your stomach
Migraine Disorder,Rest in a dark and completely quiet room,Turn off all bright screens computers and loud televisions,Apply a cool damp cloth or ice pack to your forehead,Try to identify and note down your headache triggers,Drink a glass of water as soon as the headache starts
Tension Headache,Gently stretch your neck and shoulder muscles,Stay well-hydated by drinking water through the day,Take slow deep breaths to relax your mind and body,Take a warm and relaxing shower to ease muscle tightness,Avoid staring at a computer screen for too long without a break
Allergic Rhinitis,Stay indoors when pollen or dust levels are high outside,Keep your bedroom windows closed during windy days,Wash your face and hands after coming back from outside,Use a protective mask when sweeping or dusty areas,Dust your home using a damp cloth instead of a dry broom
Asthma Flare-up,Use your prescribed rescue inhaler immediately,Sit completely upright and try to stay calm,Move away from any active smoke dust or chemical smells,Take deep slow breaths through your nose,Get emergency medical help if breathing stays difficult
