disease,severity,precautions,symptoms
Common Cold,Low,"Rest;Warm fluids;Steam inhalation","runny nose;sneezing;sore throat;cough;nasal congestion;watery eyes;post nasal drip;low fever;headache;stuffy ears"
Influenza,Moderate,"Rest;Hydration;Monitor fever","high fever;body aches;fatigue;cough;chills;headache;sore throat;weakness"
Acute Bronchitis,Moderate,"Rest;Hydration;Avoid smoke","cough;mucus cough;chest discomfort;fatigue;low fever;shortness of breath;wheezing"
Acute Sinusitis,Low,"Steam inhalation;Hydration;Rest","facial pressure;headache;nasal congestion;thick nasal discharge;runny nose;post nasal drip;reduced sense of smell;bad breath"
Strep Throat,Moderate,"Warm fluids;Doctor consultation","sore throat;high fever;swollen tonsils;painful swallowing;swollen neck glands;headache"
Pneumonia,High,"Immediate medical consultation","high fever;chest pain;shortness of breath;mucus cough;fatigue;chills;rapid breathing;sweating"
Gastroenteritis,Moderate,"Oral rehydration;Light diet","watery diarrhea;vomiting;stomach cramps;nausea;dehydration;abdominal pain;low fever;loss of appetite"
Food Poisoning,Moderate,"Hydration;Rest","vomiting;diarrhea;stomach pain;nausea;low fever;weakness;abdominal cramps"
GERD,Low,"Avoid spicy foods;Small meals","heartburn;acid reflux;chest burning;sour taste;bloating;nausea;cough;difficulty swallowing"
Irritable Bowel Syndrome,Low,"Diet control;Stress management","stomach pain;bloating;diarrhea;constipation;gas;stomach discomfort"
Peptic Ulcer Disease,Moderate,"Avoid NSAIDs;Doctor consultation","stomach pain;bloating;nausea;loss of appetite;heartburn;indigestion"
Essential Hypertension,Moderate,"Reduce salt;Monitor BP","headache;dizziness;blurred vision;fatigue;chest discomfort;ringing in ears;nosebleeds"
Type 2 Diabetes Mellitus,Moderate,"Healthy diet;Monitor glucose","frequent urination;excessive thirst;increased hunger;fatigue;blurred vision;slow healing wounds;weight loss;tingling in hands or feet"
Hyperlipidemia,Low,"Exercise;Low-fat diet","high cholesterol report;family history of high cholesterol;overweight;sedentary lifestyle;chest discomfort"
Iron Deficiency Anemia,Moderate,"Iron-rich diet","fatigue;weakness;pale skin;shortness of breath;dizziness;headache;cold hands and feet"
Hypothyroidism,Moderate,"Medical evaluation","fatigue;weight gain;cold intolerance;dry skin;constipation;depressed mood;puffy face"
Typhoid Fever,High,"Medical consultation;Hydration","high fever;abdominal pain;headache;weakness;loss of appetite;constipation;diarrhea;rash"
Dengue Fever,High,"Hydration;Blood test","high fever;pain behind eyes;body aches;rash;headache;nausea;vomiting;bleeding gums"
Malaria,High,"Medical consultation","high fever;chills;sweating;headache;nausea;vomiting;fatigue;body aches"
Urinary Tract Infection,Moderate,"Hydration;Medical consultation","burning urination;frequent urination;stomach pain;cloudy urine;low fever;strong urge to urinate;blood in urine"
Infectious Mononucleosis,Moderate,"Rest;Hydration","fatigue;high fever;sore throat;swollen neck glands;headache;body aches;abdominal fullness"
Migraine Disorder,Moderate,"Rest in dark room","headache;nausea;vomiting;sensitivity to light;sensitivity to sound;visual aura;dizziness"
Tension Headache,Low,"Stress reduction;Hydration","headache;pressure around head;neck pain;stress;fatigue"
Allergic Rhinitis,Low,"Avoid allergens","sneezing;runny nose;itchy eyes;watery eyes;nasal congestion;post nasal drip;itchy throat"
Asthma Flare-up,High,"Use inhaler;Seek medical help","wheezing;shortness of breath;chest tightness;cough;difficulty breathing"
